primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename
asbfly,[],['call'],15.5442,73.7733,Muscicapa dauurica,Asian Brown Flycatcher,Albert Lastukhin & Sergei Karpeev,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/209218,asbfly/XC209218.ogg
asbfly,[],['call'],15.5442,73.7733,Muscicapa dauurica,Asian Brown Flycatcher,Albert Lastukhin & Sergei Karpeev,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/209219,asbfly/XC209219.ogg
asbfly,[],['clicks its bill'],42.5275,130.692,Muscicapa dauurica,Asian Brown Flycatcher,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/267679,asbfly/XC267679.ogg
asbfly,[],"['call', 'male', 'song']",44.3602,132.7989,Muscicapa dauurica,Asian Brown Flycatcher,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/267680,asbfly/XC267680.ogg
asbfly,[],"['call', 'male', 'song']",44.3602,132.7989,Muscicapa dauurica,Asian Brown Flycatcher,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/267681,asbfly/XC267681.ogg
asbfly,[],['alarm call'],42.5275,130.692,Muscicapa dauurica,Asian Brown Flycatcher,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/267682,asbfly/XC267682.ogg
asbfly,[],['call'],43.7953,132.5283,Muscicapa dauurica,Asian Brown Flycatcher,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/267683,asbfly/XC267683.ogg
asbfly,[],['call'],10.1653,76.5476,Muscicapa dauurica,Asian Brown Flycatcher,Dilip KG,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/291450,asbfly/XC291450.ogg
asbfly,[],['call'],20.2864,100.0577,Muscicapa dauurica,Asian Brown Flycatcher,Woraphot Bunkhwamdi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/305518,asbfly/XC305518.ogg
asbfly,[],['call'],43.7953,132.5283,Muscicapa dauurica,Asian Brown Flycatcher,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/309402,asbfly/XC309402.ogg
asbfly,[],['call'],21.0416,105.8317,Muscicapa dauurica,Asian Brown Flycatcher,nick talbot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/312456,asbfly/XC312456.ogg
asbfly,[],['song'],21.2009,94.0341,Muscicapa dauurica,Asian Brown Flycatcher,Oscar Campbell,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/313835,asbfly/XC313835.ogg
asbfly,[],['song'],49.8699,127.6447,Muscicapa dauurica,Asian Brown Flycatcher,Alex Thomas,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/329259,asbfly/XC329259.ogg
asbfly,[],['song'],43.7953,132.5283,Muscicapa dauurica,Asian Brown Flycatcher,Albert Lastukhin & Vladimir Sotnikov,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/341611,asbfly/XC341611.ogg
asbfly,[],['song'],43.7953,132.5283,Muscicapa dauurica,Asian Brown Flycatcher,Albert Lastukhin & Vladimir Sotnikov,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/341612,asbfly/XC341612.ogg
asbfly,[],['song'],42.5275,130.692,Muscicapa dauurica,Asian Brown Flycatcher,Albert Lastukhin & Vladimir Sotnikov,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/342037,asbfly/XC342037.ogg
asbfly,[],['song'],1.3481,103.7766,Muscicapa dauurica,Asian Brown Flycatcher,Yeo SB,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/342638,asbfly/XC342638.ogg
asbfly,[],['song'],43.7953,132.5283,Muscicapa dauurica,Asian Brown Flycatcher,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/347563,asbfly/XC347563.ogg
asbfly,['comior1'],['call'],1.4181,103.7248,Muscicapa dauurica,Asian Brown Flycatcher,Kim Chuah Lim,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/347938,asbfly/XC347938.ogg
asbfly,[],['song'],49.1126,130.7299,Muscicapa dauurica,Asian Brown Flycatcher,Aleksey Antonov,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/374520,asbfly/XC374520.ogg
asbfly,[],['song'],62.2907,88.9948,Muscicapa dauurica,Asian Brown Flycatcher,Lars Edenius,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/376509,asbfly/XC376509.ogg
