primary_label,filename,type,source_files
"eucdov,eaywag1",eucdov_eaywag1_00000.wav,synthetic_mix,"eucdov/XC581067.ogg,eaywag1/XC401723.ogg"
"eaywag1,grywag",eaywag1_grywag_00001.wav,synthetic_mix,"eaywag1/XC569651.ogg,grywag/XC420248.ogg"
"comsan,eucdov",comsan_eucdov_00002.wav,synthetic_mix,"comsan/XC455722.ogg,eucdov/XC234418.ogg"
"comgre,hoopoe",comgre_hoopoe_00003.wav,synthetic_mix,"comgre/XC696671.ogg,hoopoe/XC684937.ogg"
"eucdov,commoo3",eucdov_commoo3_00004.wav,synthetic_mix,"eucdov/XC391109.ogg,commoo3/XC360808.ogg"
"zitcis1,grnsan",zitcis1_grnsan_00005.wav,synthetic_mix,"zitcis1/XC522179.ogg,grnsan/XC359075.ogg"
"eurcoo,grywag",eurcoo_grywag_00006.wav,synthetic_mix,"eurcoo/XC793464.ogg,grywag/XC445269.ogg"
"eaywag1,eurcoo",eaywag1_eurcoo_00007.wav,synthetic_mix,"eaywag1/XC670682.ogg,eurcoo/XC619994.ogg"
"barswa,litgre1",barswa_litgre1_00008.wav,synthetic_mix,"barswa/XC770375.ogg,litgre1/XC153870.ogg"
"comros,graher1",comros_graher1_00009.wav,synthetic_mix,"comros/XC365772.ogg,graher1/XC124689.ogg"
"barswa,bcnher",barswa_bcnher_00010.wav,synthetic_mix,"barswa/XC542504.ogg,bcnher/XC714745.ogg"
"comsan,bkwsti",comsan_bkwsti_00011.wav,synthetic_mix,"comsan/XC667555.ogg,bkwsti/XC312572.ogg"
"blrwar1,grewar3",blrwar1_grewar3_00012.wav,synthetic_mix,"blrwar1/XC807311.ogg,grewar3/XC179206.ogg"
"grnsan,zitcis1",grnsan_zitcis1_00013.wav,synthetic_mix,"grnsan/XC578613.ogg,zitcis1/XC347209.ogg"
"woosan,grywag",woosan_grywag_00014.wav,synthetic_mix,"woosan/XC642799.ogg,grywag/XC825602.ogg"
"comgre,grewar3",comgre_grewar3_00015.wav,synthetic_mix,"comgre/XC667867.ogg,grewar3/XC560117.ogg"
"grnsan,houspa",grnsan_houspa_00016.wav,synthetic_mix,"grnsan/XC816714.ogg,houspa/XC550536.ogg"
"grnsan,blrwar1",grnsan_blrwar1_00017.wav,synthetic_mix,"grnsan/XC132103.ogg,blrwar1/XC478485.ogg"
"eaywag1,blrwar1",eaywag1_blrwar1_00018.wav,synthetic_mix,"eaywag1/XC743046.ogg,blrwar1/XC478390.ogg"
"houspa,woosan",houspa_woosan_00019.wav,synthetic_mix,"houspa/XC185030.ogg,woosan/XC608282.ogg"
"litgre1,comros",litgre1_comros_00020.wav,synthetic_mix,"litgre1/XC252491.ogg,comros/XC371643.ogg"
"grywag,eucdov",grywag_eucdov_00021.wav,synthetic_mix,"grywag/XC603011.ogg,eucdov/XC255456.ogg"
"grnsan,woosan",grnsan_woosan_00022.wav,synthetic_mix,"grnsan/XC622365.ogg,woosan/XC497658.ogg"
"blrwar1,bkwsti",blrwar1_bkwsti_00023.wav,synthetic_mix,"blrwar1/XC659110.ogg,bkwsti/XC270022.ogg"
"hoopoe,eucdov",hoopoe_eucdov_00024.wav,synthetic_mix,"hoopoe/XC472356.ogg,eucdov/XC544639.ogg"
"blrwar1,grywag",blrwar1_grywag_00025.wav,synthetic_mix,"blrwar1/XC321064.ogg,grywag/XC593825.ogg"
"comgre,barswa",comgre_barswa_00026.wav,synthetic_mix,"comgre/XC840934.ogg,barswa/XC269815.ogg"
"eurcoo,grnsan",eurcoo_grnsan_00027.wav,synthetic_mix,"eurcoo/XC714556.ogg,grnsan/XC466201.ogg"
"lirplo,comros",lirplo_comros_00028.wav,synthetic_mix,"lirplo/XC631187.ogg,comros/XC134544.ogg"
"comsan,eurcoo",comsan_eurcoo_00029.wav,synthetic_mix,"comsan/XC578511.ogg,eurcoo/XC639495.ogg"
"blrwar1,lirplo",blrwar1_lirplo_00030.wav,synthetic_mix,"blrwar1/XC809377.ogg,lirplo/XC384966.ogg"
"commoo3,eucdov",commoo3_eucdov_00031.wav,synthetic_mix,"commoo3/XC527647.ogg,eucdov/XC573942.ogg"
"comgre,hoopoe",comgre_hoopoe_00032.wav,synthetic_mix,"comgre/XC467933.ogg,hoopoe/XC279735.ogg"
"blrwar1,comros",blrwar1_comros_00033.wav,synthetic_mix,"blrwar1/XC654568.ogg,comros/XC766285.ogg"
